team,match_id,possession_pct
Mexico ,Mexico_vs_SouthAfrica_2026-06-11,61
South Africa,Mexico_vs_SouthAfrica_2026-06-11,40
Korea Republic ,KoreaRepublic_vs_Czechia_2026-06-11,62
Czechia,KoreaRepublic_vs_Czechia_2026-06-11,38
Canada ,Canada_vs_BosniaHerz2026-06-12,61
Bosnia–Herz, Canada_vs_BosniaHerz2026-06-12,39
USA ,USA_vs_Paraguay_2026-06-12,65
Paraguay,USA_vs_Paraguay_2026-06-12,35
Qatar ,Qatar_vs_Switzerland_2026-06-13,32
Switzerland,Qatar_vs_Switzerland_2026-06-13,68
Brazil ,Brazil_vs_Morocco_2026-06-13,51
Morocco,Brazil_vs_Morocco_2026-06-13,49
Haiti ,Haiti_vs_Scotland_2026-06-13,54
Scotland,Haiti_vs_Scotland_2026-06-13,46
Australia ,Australia_vs_Turkey_2026-06-13,28
Turkey,Australia_vs_Turkey_2026-06-13,72
Germany ,Germany_vs_Curacao_2026-06-14,65
Curacao,Germany_vs_Curacao_2026-06-14,35
Netherlands ,Netherlands_vs_Japan_2026-06-14,60
Japan,Netherlands_vs_Japan_2026-06-14,40
 Cote d'lvoire,CoteD'lvoire_vs_ Ecuador_2026-06-14,48
Ecuador,CoteD'lvoire_vs_ Ecuador_2026-06-14,52
Sweden ,Sweden_vs_Tunisia_2026-06-14,49
Tunisia,Sweden_vs_Tunisia_2026-06-14,51
Belgium ,Belgium_vs_Egypt_2026-06-15,54
Egypt,Belgium_vs_Egypt_2026-06-15,46
Spain , Spain_vs_CaboVerde_2026-06-15,74
Cabo Verde,Spain_vs_CaboVerde_2026-06-15,26
IR Iran ,IRIran_vs_NewZealand_2026-06-15,48
New Zealand,IRIran_vs_NewZealand_2026-06-15,52
Saudi Arabia ,SarudiArabia_vs_Uruguay_2026-06-15,33
Uruguay,SarudiArabia_vs_Uruguay_2026-06-15,67
France ,France_vs_Senegal_2026-06-16,54
Senegal,France_vs_Senegal_2026-06-16,46
Iraq ,Iraq_vs_Norway_2026-06-16,39
Norway,Iraq_vs_Norway_2026-06-16,61
Argentina ,Argentina_vs_Algeria_2026-06-16,48
Algeria,Argentina_vs_Algeria_2026-06-16,52
Austria ,Austria_vs_Jordan_2026-06-16,63
Jordan,Austria_vs_Jordan_2026-06-16,37
Portugal ,Portugal_vs_CongoDR_2026-06-17,75
Congo DR,Portugal_vs_CongoDR_2026-06-17,25
England ,England_vs_Croatia_2026-06-17,52
Croatia,England_vs_Croatia_2026-06-17,48
Ghana ,Ghana_vs_Panama_2026-06-17,38
Panama,Ghana_vs_Panama_2026-06-17,62
Uzbekistan ,Uzbekistan_vs_Colombia_2026-06-17,39
Colombia,Uzbekistan_vs_Colombia_2026-06-17,62
 Czechia ,Czechia_vs_SouthAfrica_2026-06-18,38
South Africa,Czechia_vs_SouthAfrica_2026-06-18,62
Switzerland ,Switzerland_vs_BosniaHerz_2026-06-18,62
Bosnia–Herz,Switzerland_vs_BosniaHerz_2026-06-18,38
Canada ,Canada_vs_Qatar_2026-06-18,79
Qatar,Canada_vs_Qatar_2026-06-18,21
Mexico ,Mexico_vs_KoreaRepublic_2026-06-18,42
Korea Republic,Mexico_vs_KoreaRepublic_2026-06-18,58
USA ,USA_vs_Australia_2026-06-19,62
Australia,USA_vs_Australia_2026-06-19,38
Scotland ,Scotland_vs_Morocco_2026-06-19,41
Morocco,Scotland_vs_Morocco_2026-06-19,59
Turkey,Turkey_vs_Paraguay_2026-06-19,79
Paraguay,Turkey_vs_Paraguay_2026-06-19,22
Brazil ,Brazil_vs_Haiti_2026-06-19,57
Haiti,Brazil_vs_Haiti_2026-06-19,43
Netherlands ,Netherlands_vs_Sweden_2026-06-20,51
Sweden,Netherlands_vs_Sweden_2026-06-20,49
Germany ,Germany_vs_CoteD'lvoire_2026-06-20,59
Cote d'lvoire,Germany_vs_CoteD'lvoire_2026-06-20,41
Ecuador ,Ecuador_vs_Curacao_2026-06-20,75
Curacao,Ecuador_vs_Curacao_2026-06-20,25
Tunisia ,Tunisia_vs_Japan_2026-06-20,38
Japan,Tunisia_vs_Japan_2026-06-20,62
Spain ,Spain_vs_SaudiArabia_2026-06-21,67
Saudi Arabia,Spain_vs_SaudiArabia_2026-06-21,33
Belgium ,Belgium_vs_IRIran_2026-06-21,70
IR Iran,Belgium_vs_IRIran_2026-06-21,30
Uruguay ,Uruguay_vs_CaboVerde_2026-06-21,65
Cabo Verde,Uruguay_vs_CaboVerde_2026-06-21,35
