Team,G,FT CF,Avg
Canada,5,50,10.0
Uruguay,3,26,8.67
Turkey,4,22,7.33
Germany,4,28,7.0
Spain,8,54,6.75
Ivory Coast,4,26,6.5
France,8,51,6.38
Ecuador,4,25,6.25
Brazil,5,27,5.4
Senegal,4,21,5.25
USA,5,26,5.2
Czech Republic,3,15,5.0
England,8,39,4.88
Morocco,6,29,4.83
Switzerland,6,28,4.67
Netherlands,6,27,4.5
Norway,6,27,4.5
Sweden,4,18,4.5
Egypt,4,18,4.5
Portugal,5,22,4.4
Colombia,5,21,4.2
Argentina,8,32,4.0
Australia,4,16,4.0
Belgium,6,24,4.0
Panama,3,12,4.0
Scotland,3,12,4.0
South Korea,5,19,3.8
Mexico,5,19,3.8
Bosnia and Herzegovina,4,15,3.75
Algeria,4,14,3.5
New Zealand,10,33,3.33
D.R. Congo,4,13,3.25
Japan,4,13,3.25
Croatia,4,12,3.0
Haiti,3,9,3.0
Qatar,3,9,3.0
Tunisia,3,9,3.0
Uzbekistan,3,9,3.0
Cape Verde,4,11,2.75
South Africa,4,11,2.75
Iran,3,8,2.67
Austria,4,10,2.5
Iraq,3,7,2.33
Saudi Arabia,3,7,2.33
Ghana,4,8,2.0
Jordan,3,6,2.0
Curacao,3,5,1.67
Paraguay,5,8,1.6
