Player,MP,SoTA,Saves,CS
Yazeed Abulaila,3,16,8,0
Mahmoud Abunada,3,22,12,0
Alisson,5,18,14,2
Benjamin Asare,3,10,8,2
Lawrence Ati-Zigi,2,9,8,1
Ahmed Basil,2,7,3,0
Patrick Beach,4,17,14,2
Alireza Beiranvand,3,18,15,1
Oussama Benbot,1,3,0,0
Yassine Bounou,6,20,14,2
Uğurcan Çakır,3,13,8,0
Mouhib Chamakh,1,6,1,0
Diogo Costa,5,22,19,2
Thibaut Courtois,6,20,14,1
Maxime Crépeau,5,12,6,2
Max Crocombe,3,21,11,0
Aymen Dahmen,2,12,5,0
Mory Diaw,3,7,4,1
Yahia Fofana,4,13,9,2
Matt Freese,4,13,8,2
Hernán Galíndez,4,13,9,1
Orlando Gill,5,29,23,2
Angus Gunn,3,12,8,1
Jalal Hassan,2,16,8,0
Dean Henderson,1,9,5,0
Gregor Kobel,6,26,20,2
Matej Kovar,3,15,9,0
Senne Lammens,1,3,2,0
Dominik Livaković,4,17,10,1
Mike Maignan,8,22,12,4
Emiliano Martínez,8,28,20,2
Édouard Mendy,2,14,8,0
Orlando Mosquera,3,11,7,0
Lionel Mpasi,4,19,14,0
Fernando Muslera,3,8,4,0
Abduvohid Nematov,2,13,5,0
Manuel Neuer,4,10,5,0
Kristoffer Nordfeldt,2,9,3,0
Ørjan Nyland,5,22,15,0
Guillermo Ochoa,1,0,0,1
Mohammed Al-Owais,3,21,16,1
Jordan Pickford,7,23,15,2
Johny Placide,3,19,11,0
Raúl Rangel,5,11,8,4
Sergio Rochet,1,0,0,0
Eloy Room,3,29,20,1
Mathew Ryan,1,0,0,0
Alexander Schlager,4,22,13,0
Egil Selvik,1,9,5,0
Kim Seung-gyu,3,12,9,0
Mostafa Shobeir,5,19,12,0
Unai Simón,8,11,9,7
Zion Suzuki,4,17,12,1
Matt Turner,1,3,0,0
Camilo Vargas,5,7,6,4
Nikola Vasilj,4,14,6,0
Bart Verbruggen,4,21,16,0
Vozinha,4,23,18,2
Jacob Widell Zetterström,2,15,11,0
Ronwen Williams,4,15,11,1
Utkir Yusupov,1,4,1,0
Luca Zidane,3,14,8,0
